timestamp,total,cash,exposure
2026-03-08 19:13:04,100000000,76080443,23.9
2026-03-08 19:50:27,100000000,100000000,0.0
2026-03-08 23:24:29,100000000,100000000,0.0
2026-03-08 23:45:17,100000000,100000000,0.0
2026-03-08 23:48:04,100000000,100000000,0.0
2026-03-08 23:58:04,100000000,100000000,0.0
2026-03-09 09:05:15,100000000,100000000,0.0
2026-03-09 09:19:02,100000000,100000000,0.0
2026-03-09 09:24:36,100000000,100000000,0.0
2026-03-09 09:25:59,100000000,100000000,0.0
2026-03-09 23:45:58,100000000,100000000,0.0
2026-03-09 23:56:17,100000000,45675632,54.3
2026-03-09 23:56:25,143221393,70062889,51.1
2026-03-10 08:55:53,143221393,70062889,51.1
2026-03-10 09:00:17,143221393,70062889,51.1
2026-03-10 09:02:38,143221393,70062889,51.1
2026-03-10 09:04:10,100000000,100000000,0.0
2026-03-10 09:10:48,100000000,100000000,0.0
2026-03-10 09:12:35,100000000,55089331,44.9
2026-03-10 09:13:20,100012906,41446596,58.6
2026-03-10 09:46:59,100000000,55101469,44.9
2026-03-10 10:05:07,99948122,42153286,57.8
2026-03-10 21:37:28,164438560,50088287,69.5
2026-03-10 21:55:10,190513075,54906734,71.2
2026-03-10 21:56:25,225978661,54906734,75.7
2026-03-10 21:58:24,223305344,54906734,75.4
2026-03-10 22:02:16,192697855,56535520,70.7
2026-03-10 22:04:12,260265894,43521130,83.3
2026-03-10 22:05:45,210316008,57283212,72.8
2026-03-10 22:07:37,214486271,35912198,83.3
2026-03-10 22:09:41,100000000,75102559,24.9
2026-03-10 22:12:44,100000000,80018938,20.0
2026-03-10 22:15:05,100000000,75051466,24.9
2026-03-10 22:15:05,100000000,75035264,25.0
2026-03-10 22:16:30,148598705,96683812,34.9
2026-03-10 22:17:15,100000000,75064932,24.9
