date,ticker,qscore,entry,tp,sl,sector,stage
20260309,0043B0,0.6,101845,101939,101798,기타,B
20260309,357870,0.6,57190,57242,57164,기타,B
20260309,449170,0.6,110360,110442,110319,기타,B
20260309,455890,0.6,54625,54679,54598,기타,B
20260309,463290,0.6,107745,107897,107669,기타,B
20260309,469830,0.6,53515,53583,53481,기타,B
20260309,479080,0.6,52920,52976,52892,기타,B
20260309,488770,0.6,103745,103833,103701,기타,B
20260309,530031,0.6,2175,3151,1687,기타,B
20260309,497880,0.5999,50065,50145,50025,기타,B
20260309,477050,0.5997,52680,52780,52630,기타,B
20260309,0048J0,0.5993,14750,15426,14412,기타,B
20260309,329750,0.5993,13710,14388,13371,기타,B
20260309,456610,0.5993,62865,65789,61403,기타,B
20260309,455030,0.5992,12675,13273,12376,기타,B
20260309,456880,0.5992,12755,13355,12455,기타,B
20260309,0046A0,0.599,10215,10695,9975,기타,B
20260309,305080,0.5989,13480,14162,13139,기타,B
20260309,468380,0.5985,11800,12288,11556,기타,B
20260309,261220,0.5984,18900,23984,16358,기타,B
20260309,473330,0.5978,9395,9907,9139,기타,B
20260309,490490,0.5974,11540,12394,11113,기타,B
20260309,0008S0,0.5967,10230,10798,9946,기타,B
20260309,483290,0.5964,10740,11344,10438,기타,B
20260309,458760,0.5963,11225,11837,10919,기타,B
20260309,0052S0,0.5961,11620,12104,11378,기타,B
20260309,441680,0.596,11120,11892,10734,기타,B
20260309,214980,0.5959,114880,115072,114784,기타,B
20260309,043260,0.5954,37600,58830,26985,전기·전자,B
20260309,490600,0.5953,9395,9973,9106,기타,B
20260309,402970,0.5951,14875,15721,14452,기타,B
20260309,458730,0.595,14620,15420,14220,기타,B
20260309,263750,0.5947,58800,84104,46148,IT 서비스,B
20260309,083650,0.5946,94800,132230,76085,기계·장비,B
20260309,446720,0.594,13405,14197,13009,기타,B
20260309,283580,0.5934,16020,17234,15413,기타,B
20260309,0138Y0,0.5931,10920,11552,10604,기타,B
20260309,476760,0.5931,10265,10879,9958,기타,B
20260309,190620,0.592,100780,100916,100712,기타,B
20260309,237690,0.5919,160000,216466,131767,제약,B
20260309,017960,0.5918,41800,59212,33094,금속,B
20260309,192090,0.5916,13020,14104,12478,기타,B
20260309,084110,0.5905,63000,87572,50714,제약,B
20260309,389030,0.5904,4225,6291,3192,일반서비스,B
20260309,489250,0.5902,12595,13279,12253,기타,B
20260309,153130,0.5896,113430,113570,113360,기타,B
20260309,0066W0,0.5881,15990,17566,15202,기타,B
20260309,0064K0,0.588,15845,17361,15087,기타,B
20260309,476550,0.5871,7580,7812,7464,기타,B
20260309,436140,0.5869,109490,111600,108435,기타,B
