code,n_bars,vwap,close,close_vs_vwap_pct,intraday_high,intraday_low,from_intraday_high_pct,from_prev_close_pct,max_intraday_dd_pct,max_dd_time,max_5m_drop_pct,max_5m_drop_time,volume_spike_2x,volume_spike_3x,volume_spike_opening,max_volume_ratio,near_trail_stop,analysis_end_time,is_partial_day
000660,92,939020.5,954000.0,1.6,954000.0,931000.0,0.0,,-1.38,11:34,-0.43,11:30,4,0,0,2.7,False,13:09,True
001060,179,31724.3,31400.0,-1.02,32100.0,31350.0,-2.18,,-2.18,14:58,-0.63,12:04,28,12,0,11.5,False,15:19,True
001120,347,47809.2,48250.0,0.92,49050.0,46400.0,-1.63,3.43,-3.03,11:47,-0.95,10:10,20,8,0,4.3,False,15:19,False
001800,218,25369.2,25450.0,0.32,25700.0,24950.0,-0.97,,-1.75,15:18,-0.59,14:33,20,11,0,12.7,False,15:19,True
003690,122,13396.0,13470.0,0.55,13480.0,13300.0,-0.07,0.22,-1.11,10:10,-0.52,10:10,14,6,1,6.4,False,11:11,True
004690,325,147985.9,149300.0,0.89,151000.0,140000.0,-1.13,-1.65,-7.28,09:02,-1.73,09:06,30,10,0,6.3,False,15:19,False
005830,347,178070.6,175800.0,-1.28,187600.0,175500.0,-6.29,-9.66,-6.34,14:51,-0.84,10:40,15,5,0,3.8,False,15:19,False
005930,92,180468.7,183500.0,1.68,183500.0,178900.0,0.0,,-0.89,11:33,-0.39,11:29,6,0,0,2.5,False,13:09,True
016360,17,96917.7,97100.0,0.19,98100.0,96200.0,-1.02,-0.51,-1.63,09:11,-0.62,09:05,1,0,0,2.8,False,09:17,True
017940,196,101568.6,101200.0,-0.36,102100.0,100900.0,-0.88,,-0.98,14:50,-0.69,11:54,27,9,0,6.9,False,15:19,True
023530,17,112566.0,113500.0,0.83,113500.0,110700.0,0.0,2.34,-1.42,09:01,-0.62,09:12,1,0,0,2.7,False,09:17,True
024110,87,23468.3,23550.0,0.35,23650.0,23300.0,-0.42,0.86,-1.27,09:04,-0.85,09:05,9,5,0,7.4,False,10:33,True
028050,347,33162.2,32850.0,-0.94,34300.0,32500.0,-4.23,-2.38,-4.52,15:12,-0.75,09:05,7,2,0,5.0,False,15:19,False
033780,87,157027.0,157000.0,-0.02,158100.0,156200.0,-0.7,0.45,-1.14,10:11,-0.51,09:07,5,1,0,3.3,False,10:33,True
035420,92,212965.2,214000.0,0.49,214500.0,212000.0,-0.23,,-1.17,11:47,-0.47,11:48,2,1,0,3.1,False,13:09,True
051910,92,315252.9,318000.0,0.87,318500.0,313000.0,-0.16,,-1.18,12:11,-0.63,11:33,12,6,0,6.9,False,13:09,True
055550,347,93586.1,92900.0,-0.73,94600.0,92200.0,-1.8,0.65,-2.01,15:10,-0.75,09:06,28,6,0,5.1,False,15:19,False
069960,42,85555.3,85400.0,-0.18,87300.0,84700.0,-2.18,-1.27,-2.86,09:35,-1.84,09:05,5,3,0,5.1,False,09:48,True
078930,346,68606.8,67700.0,-1.32,70200.0,67400.0,-3.56,-3.42,-3.85,15:17,-0.74,15:17,38,18,0,5.2,False,15:19,False
086790,347,109204.8,108500.0,-0.65,110500.0,108000.0,-1.81,-0.55,-2.17,15:14,-0.55,09:26,24,9,0,4.5,False,15:19,False
105560,347,152072.0,152000.0,-0.05,153400.0,149000.0,-0.91,1.74,-1.56,11:52,-0.72,11:24,11,3,0,4.2,False,15:19,False
138930,346,18531.0,18450.0,-0.44,18840.0,18250.0,-2.07,0.0,-3.08,15:06,-0.64,11:22,22,4,0,3.3,False,15:19,False
139130,347,17155.2,17020.0,-0.79,17350.0,16920.0,-1.9,0.47,-2.07,15:05,-0.58,12:03,21,7,0,9.3,False,15:19,False
161390,122,57894.5,57800.0,-0.16,59300.0,57500.0,-2.53,-0.52,-2.87,09:13,-1.54,09:07,12,6,0,7.3,False,11:11,True
175330,347,30129.7,29950.0,-0.6,30750.0,29350.0,-2.6,1.01,-3.41,15:10,-0.82,11:27,22,7,0,4.7,False,15:19,False
316140,347,33241.3,33050.0,-0.58,33700.0,32800.0,-1.93,0.3,-2.08,15:10,-0.6,14:11,24,8,0,4.6,False,15:19,False
417310,226,9655.1,9630.0,-0.26,9800.0,9560.0,-1.73,-1.43,-2.24,11:22,-1.12,09:09,39,21,0,16.1,False,15:19,True
