date,equity,cash,n_positions,daily_pnl_pct,monthly_dd_pct,risk_mode,rebalance_executed,price_fail_count,reconcile_corrections,monitor_only,kospi_close,kosdaq_close,regime,kospi_ma200,breadth
2026-03-27,482073851.00,159911.00,20,-0.0359,-0.0359,NORMAL,Y,0,21,N,,,,,
2026-03-27,481938981.00,159911.00,20,-0.0361,-0.0361,NORMAL,Y,0,21,N,,,,,
2026-03-30,468431095.00,13442185.00,19,-0.0604,-0.0828,MONTHLY_BLOCKED,N,0,15,N,,,,,
2026-03-30,470592965.00,13442185.00,19,-0.0561,-0.0786,MONTHLY_BLOCKED,N,0,15,N,,,,,
2026-03-30,470704335.00,13442185.00,19,-0.0558,-0.0784,MONTHLY_BLOCKED,N,0,15,N,,,,,
2026-03-30,473322985.00,13442185.00,19,-0.0506,-0.0733,MONTHLY_BLOCKED,N,0,15,N,,,,,
2026-03-30,473794585.00,13442185.00,19,-0.0496,-0.0723,MONTHLY_BLOCKED,N,0,15,N,,,,,
2026-03-30,474485975.00,13442185.00,19,-0.0483,-0.0710,MONTHLY_BLOCKED,N,0,15,N,,,,,
2026-03-30,473668155.00,13442185.00,19,-0.0499,-0.0726,MONTHLY_BLOCKED,N,0,15,N,,,,,
2026-03-30,472235300.00,13442185.00,19,-0.0528,-0.0754,MONTHLY_BLOCKED,N,0,15,N,,,,,
2026-03-30,472460915.00,13442185.00,19,-0.0523,-0.0750,MONTHLY_BLOCKED,N,0,15,N,,,,,
2026-03-30,473009475.00,13442185.00,19,-0.0512,-0.0739,MONTHLY_BLOCKED,N,0,15,N,,,,,
2026-03-30,471933885.00,13442185.00,19,-0.0534,-0.0760,MONTHLY_BLOCKED,N,0,15,N,,,,,
2026-03-30,472195445.00,13442185.00,19,-0.0529,-0.0755,MONTHLY_BLOCKED,N,0,15,N,,,,,
2026-03-30,474070395.00,13442185.00,19,-0.0491,-0.0718,MONTHLY_BLOCKED,N,0,15,N,,,,,
2026-03-30,472620945.00,13442185.00,19,-0.0520,-0.0746,MONTHLY_BLOCKED,N,0,15,N,,,,,
2026-03-30,473678235.00,13442185.00,19,-0.0499,-0.0726,MONTHLY_BLOCKED,N,0,15,N,,,,,
2026-04-03,4983673.00,1171753.00,17,-0.0033,-0.0033,NORMAL,N,0,18,N,,,,,
2026-04-03,4989003.00,1171753.00,17,-0.0022,-0.0022,NORMAL,N,0,18,N,,,,,
2026-04-03,4995743.00,1171753.00,17,-0.0009,-0.0009,NORMAL,N,0,18,N,,,,,
2026-04-03,4990113.00,1171753.00,17,-0.0020,-0.0020,NORMAL,N,0,18,N,,,,,
2026-04-03,4992743.00,1171753.00,17,-0.0015,-0.0015,NORMAL,N,0,18,N,,,,,
2026-04-03,4983873.00,1171753.00,17,-0.0032,-0.0032,NORMAL,N,0,18,N,,,,,
2026-04-03,4982093.00,1171753.00,17,-0.0036,-0.0036,NORMAL,N,0,18,N,,,,,
2026-04-03,4977173.00,1171753.00,17,-0.0046,-0.0046,NORMAL,N,0,18,N,,,,,
2026-04-03,4983149.00,1171749.00,17,-0.0034,-0.0034,NORMAL,N,0,1,N,,,,,
2026-04-03,4980719.00,1171749.00,17,-0.0039,-0.0039,NORMAL,N,0,1,N,,,,,
2026-04-03,4974779.00,1171749.00,17,-0.0050,-0.0050,NORMAL,N,0,1,N,,,,,
2026-04-03,4968899.00,1171749.00,17,-0.0062,-0.0062,NORMAL,N,0,1,N,,,,,
2026-04-03,4967369.00,1171749.00,17,-0.0065,-0.0065,NORMAL,N,0,1,N,,,,,
2026-04-03,4971729.00,1171749.00,17,-0.0057,-0.0057,NORMAL,N,0,1,N,,,,,
2026-04-03,4961939.00,1171749.00,17,-0.0076,-0.0076,NORMAL,N,0,1,N,,,,,
2026-04-03,4964049.00,1171749.00,17,-0.0072,-0.0072,NORMAL,N,0,1,N,,,,,
2026-04-03,4965149.00,1171749.00,17,-0.0070,-0.0070,NORMAL,N,0,1,N,,,,,
2026-04-03,4962549.00,1171749.00,17,-0.0075,-0.0075,NORMAL,N,0,1,N,,,,,
2026-04-03,4961289.00,1171749.00,17,-0.0077,-0.0077,NORMAL,N,0,1,N,,,,,
2026-04-03,4943129.00,1171749.00,17,-0.0114,-0.0114,NORMAL,N,0,1,N,,,,,
2026-04-03,4941779.00,1171749.00,17,-0.0116,-0.0116,NORMAL,N,0,1,N,,,,,
2026-04-03,4945060.00,1171830.00,17,-0.0110,-0.0110,NORMAL,N,0,1,N,,,,,
2026-04-03,4941920.00,1171830.00,17,-0.0116,-0.0116,NORMAL,N,0,1,N,,,,,
2026-04-03,4957250.00,1171830.00,17,-0.0086,-0.0086,NORMAL,N,0,1,N,,,,,
2026-04-03,4953060.00,1171830.00,17,-0.0094,-0.0094,NORMAL,N,0,1,N,,,,,
2026-04-03,4954600.00,1171830.00,17,-0.0091,-0.0091,NORMAL,N,0,1,N,,,,,
2026-04-03,4954150.00,1171830.00,17,-0.0092,-0.0092,NORMAL,N,0,1,N,,,,,
2026-04-03,4947680.00,1171830.00,17,-0.0105,-0.0105,NORMAL,N,0,1,N,,,,,
2026-04-03,4948380.00,1171830.00,17,-0.0103,-0.0103,NORMAL,N,0,1,N,,,,,
2026-04-03,4950210.00,1171830.00,17,-0.0100,-0.0100,NORMAL,N,0,1,N,,,,,
2026-04-03,4949520.00,1171830.00,17,-0.0101,-0.0101,NORMAL,N,0,1,N,,,,,
2026-04-03,4950850.00,1171830.00,17,-0.0098,-0.0098,NORMAL,N,0,1,N,,,,,
2026-04-03,4947730.00,1171830.00,17,-0.0105,-0.0105,NORMAL,N,0,1,N,,,,,
2026-04-03,4948430.00,1171830.00,17,-0.0103,-0.0103,NORMAL,N,0,1,N,,,,,
2026-04-03,4948830.00,1171830.00,17,-0.0102,-0.0102,NORMAL,N,0,1,N,,,,,
2026-04-03,4952480.00,1171830.00,17,-0.0095,-0.0095,NORMAL,N,0,1,N,,,,,
2026-04-03,4954590.00,1171830.00,17,-0.0091,-0.0091,NORMAL,N,0,1,N,,,,,
2026-04-03,4953850.00,1171830.00,17,-0.0092,-0.0092,NORMAL,N,0,1,N,,,,,
2026-04-03,4953790.00,1171830.00,17,-0.0092,-0.0092,NORMAL,N,0,1,N,,,,,
2026-04-03,4953770.00,1171830.00,17,-0.0092,-0.0092,NORMAL,N,0,1,N,,,,,
2026-04-03,4955420.00,1171830.00,17,-0.0089,-0.0089,NORMAL,N,0,1,N,,,,,
2026-04-03,4956210.00,1171830.00,17,-0.0088,-0.0088,NORMAL,N,0,1,N,,,,,
2026-04-03,4952000.00,1171830.00,17,-0.0096,-0.0096,NORMAL,N,0,1,N,,,,,
2026-04-03,4958910.00,1171830.00,17,-0.0082,-0.0082,NORMAL,N,0,1,N,,,,,
2026-04-03,4952760.00,1171830.00,17,-0.0094,-0.0094,NORMAL,N,0,1,N,,,,,
2026-04-03,4950360.00,1171830.00,17,-0.0099,-0.0099,NORMAL,N,0,1,N,,,,,
