date,breakout_trend,hybrid_qscore,liquidity_signal,lowvol_momentum,mean_reversion,momentum_base,quality_factor,sector_rotation,vol_regime
2026-04-10,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-10,115254061.37650001,101533656.55699998,109607616.5535,100617697.24599999,102336175.44125,101331313.85000002,101314942.1165,101339199.72925001,100995679.0205
2026-04-10,115254061.37650001,101533656.55699998,109607616.5535,100617697.24599999,102336175.44125,101331313.85000002,101314942.1165,101339199.72925001,100995679.0205
2026-04-10,115254061.37650001,101533656.55699998,109607616.5535,100617697.24599999,102336175.44125,101331313.85000002,101314942.1165,101339199.72925001,100995679.0205
2026-04-10,115254061.37650001,101533656.55699998,109607616.5535,100617697.24599999,102336175.44125,101331313.85000002,101314942.1165,101339199.72925001,100995679.0205
2026-04-10,115254061.37650001,101533656.55699998,109607616.5535,100617697.24599999,102336175.44125,101331313.85000002,101314942.1165,101339199.72925001,100995679.0205
2026-04-10,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-10,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-10,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-10,115254061.37650001,101533656.55699998,109607616.5535,100617697.24599999,102336175.44125,101331313.85000002,101314942.1165,101339199.72925001,100995679.0205
2026-04-10,115254061.37650001,101533656.55699998,109607616.5535,100617697.24599999,102336175.44125,101331313.85000002,101314942.1165,101339199.72925001,100995679.0205
2026-04-10,115254061.37650001,101533656.55699998,109607616.5535,100617697.24599999,102336175.44125,101331313.85000002,101314942.1165,101339199.72925001,100995679.0205
